"sample_a","sample_b","kinship"
"IRIS_313-11358","IRIS_313-8458",0.253492019349586
"IRIS_313-11371","IRIS_313-8458",-0.301896859686193
"IRIS_313-11374","IRIS_313-8458",-0.285446526800884
"IRIS_313-11408","IRIS_313-8458",0.195242737424401
"IRIS_313-11414","IRIS_313-8458",0.146235046576599
"IRIS_313-11433","IRIS_313-8458",0.208265170372505
"IRIS_313-11445","IRIS_313-8458",0.125825816599331
"IRIS_313-11447","IRIS_313-8458",0.340207863690842
"IRIS_313-11452","IRIS_313-8458",-0.222880891177551
"IRIS_313-11453","IRIS_313-8458",0.133066614344515
"IRIS_313-11454","IRIS_313-8458",-0.246644899589859
"IRIS_313-11455","IRIS_313-8458",-0.231563847401065
"IRIS_313-11458","IRIS_313-8458",-0.250415247680329
"IRIS_313-11462","IRIS_313-8458",-0.293091222927971
"IRIS_313-11476","IRIS_313-8458",-0.187174406729611
"IRIS_313-11477","IRIS_313-8458",-0.322176631417703
"IRIS_313-11479","IRIS_313-8458",-0.167529944622524
"IRIS_313-11489","IRIS_313-8458",-0.123802220591243
"IRIS_313-11491","IRIS_313-8458",0.0888856896515711
"IRIS_313-11493","IRIS_313-8458",1.06669681865537
"IRIS_313-11494","IRIS_313-8458",-0.262990272376528
"IRIS_313-11596","IRIS_313-8458",-0.0719155913603791
"IRIS_313-11597","IRIS_313-8458",0.0617627188133239
"IRIS_313-11599","IRIS_313-8458",0.191065328488291
"IRIS_313-11600","IRIS_313-8458",0.107997863220776
"IRIS_313-11602","IRIS_313-8458",-0.282205531630183
"IRIS_313-11604","IRIS_313-8458",-0.324291925302387
"IRIS_313-11616","IRIS_313-8458",-0.0575665197882414
"IRIS_313-11618","IRIS_313-8458",-0.262091719192463
"IRIS_313-11620","IRIS_313-8458",-0.268276704811047
"IRIS_313-11621","IRIS_313-8458",0.54358135563349
"IRIS_313-11636","IRIS_313-8458",-0.298113948317891
"IRIS_313-11638","IRIS_313-8458",0.127563952186569
"IRIS_313-11639","IRIS_313-8458",0.0904909479645968
"IRIS_313-11641","IRIS_313-8458",0.138104712485443
"IRIS_313-11646","IRIS_313-8458",0.248970451776274
"IRIS_313-11647","IRIS_313-8458",0.034799296665405
"IRIS_313-11648","IRIS_313-8458",0.128754948028042
"IRIS_313-11712","IRIS_313-8458",-0.285575671162546
"IRIS_313-11737","IRIS_313-8458",-0.269422294640065
"IRIS_313-11738","IRIS_313-8458",0.100970498333772
