"sample","PC1","PC2","PC3","PC4","group"
"B195",0.0126142429017928,-0.00776693205254458,0.00152609177147366,-0.0010257976966294,"3K-RGP reference (unlabelled)"
"B196",-0.0250668223073846,-0.00598899333413714,-0.011458429068631,0.00904807609670741,"3K-RGP reference (unlabelled)"
"B197",0.0147177240236536,-0.00571476337643875,0.00138295893100184,0.00123286331890647,"3K-RGP reference (unlabelled)"
"B198",0.0126270545322994,-0.00679374202082642,0.00315137685933419,0.00314937091817469,"3K-RGP reference (unlabelled)"
"B199",-0.026880858320681,-0.00465020431113058,0.0358042509173476,-0.00560515349336591,"3K-RGP reference (unlabelled)"
"B200",0.0120213265805296,-0.00624961623129052,0.002589203589779,0.00167640667135129,"3K-RGP reference (unlabelled)"
"B201",0.0105674115280404,-0.00852175832594513,0.00120921767094535,0.00312921780008655,"3K-RGP reference (unlabelled)"
"B202",0.00976772591078758,-0.00604288671627433,0.00333600927071903,0.00176960200702416,"3K-RGP reference (unlabelled)"
"B203",0.00962115467515348,-0.00535064951493223,0.00263206896922425,0.000351394768009092,"3K-RGP reference (unlabelled)"
"B204",-0.0296613690001767,-0.0053027834096571,0.0381050483996314,-0.00356310754974457,"3K-RGP reference (unlabelled)"
"B205",-0.0277709170706759,-0.00455779939424616,0.0157402192128975,-0.0038103607636688,"3K-RGP reference (unlabelled)"
"B207",0.0106797511438337,-0.0077293346040857,0.00152861684936202,0.000128362807486125,"3K-RGP reference (unlabelled)"
"B208",0.0150752558345724,-0.00878702663049345,0.00278549005881782,0.00364964152376334,"3K-RGP reference (unlabelled)"
"B210",0.0136000275183223,-0.00568752656829182,0.000718601817754477,0.00248595094901809,"3K-RGP reference (unlabelled)"
"B212",-0.0241090814616427,-0.00408513593720333,0.0318783487576868,-0.00516371913710513,"3K-RGP reference (unlabelled)"
"B213",0.0129360357038809,-0.00788315676539918,0.00340746253028542,0.00291475797772134,"3K-RGP reference (unlabelled)"
"B214",0.0141426108728778,-0.0098581908364549,0.00124947703221936,0.00227651865422251,"3K-RGP reference (unlabelled)"
"B215",-0.029291144775268,-0.0054058355748392,0.0440922756040691,-0.00485189844027355,"3K-RGP reference (unlabelled)"
"B216",0.012738693809648,-0.00657972751882215,0.00356425881372929,0.00196695775575868,"3K-RGP reference (unlabelled)"
"B217",0.0142154881689255,-0.00922036265970323,0.00296332283815053,0.00243647726602363,"3K-RGP reference (unlabelled)"
"B218",-0.0292458156868738,-0.00561532633131104,0.038691277283236,-0.00260719540252302,"3K-RGP reference (unlabelled)"
"B219",0.0135080702679429,-0.00667389354362984,0.000574997065011897,0.00140897358675403,"3K-RGP reference (unlabelled)"
"B221",0.00959540515096195,0.018469738004792,0.00216401906134362,0.00915886637571306,"3K-RGP reference (unlabelled)"
"B222",0.0133321093619238,-0.00597208221017607,0.00165540230865948,0.00252112624248058,"3K-RGP reference (unlabelled)"
